"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"BatteryTest1","0.000","12.977","0.000","999.90"
"BatteryTest1","1.000","12.863","2.459","999.90"
"BatteryTest1","2.000","12.466","7.500","999.90"
"BatteryTest1","3.000","12.400","7.500","999.90"
"BatteryTest1","4.000","12.345","7.500","999.90"
"BatteryTest1","5.000","12.321","7.500","999.90"
"BatteryTest1","6.000","12.278","7.500","999.90"
"BatteryTest1","7.000","12.243","7.500","999.90"
"BatteryTest1","8.000","12.211","7.500","999.90"
"BatteryTest1","9.000","12.188","7.500","999.90"
"BatteryTest1","10.000","12.176","7.500","999.90"
"BatteryTest1","11.000","12.160","7.500","999.90"
"BatteryTest1","12.000","12.137","7.500","999.90"
"BatteryTest1","13.000","12.129","7.500","999.90"
"BatteryTest1","14.000","12.117","7.500","999.90"
"BatteryTest1","15.000","12.113","7.500","999.90"
"BatteryTest1","16.000","12.105","7.500","999.90"
"BatteryTest1","17.000","12.101","7.500","999.90"
"BatteryTest1","18.000","12.097","7.500","999.90"
"BatteryTest1","19.000","12.097","7.500","999.90"
"BatteryTest1","20.000","12.094","7.500","999.90"
"BatteryTest1","21.000","12.090","7.500","999.90"
"BatteryTest1","22.000","12.090","7.500","999.90"
"BatteryTest1","23.000","12.090","7.500","999.90"
"BatteryTest1","24.000","12.097","7.500","999.90"
"BatteryTest1","25.000","12.097","7.500","999.90"
"BatteryTest1","26.000","12.097","7.500","999.90"
"BatteryTest1","27.000","12.097","7.500","999.90"
"BatteryTest1","28.000","12.105","7.500","999.90"
"BatteryTest1","29.000","12.109","7.500","999.90"
"BatteryTest1","30.000","12.109","7.500","999.90"
"BatteryTest1","31.000","12.113","7.500","999.90"
"BatteryTest1","32.000","12.117","7.500","999.90"
"BatteryTest1","33.000","12.121","7.500","999.90"
"BatteryTest1","34.000","12.121","7.500","999.90"
"BatteryTest1","35.000","12.129","7.500","999.90"
"BatteryTest1","36.000","12.129","7.500","999.90"
"BatteryTest1","37.000","12.129","7.500","999.90"
"BatteryTest1","38.000","12.137","7.500","999.90"
"BatteryTest1","39.000","12.137","7.500","999.90"
"BatteryTest1","40.000","12.145","7.500","999.90"
"BatteryTest1","41.000","12.145","7.500","999.90"
"BatteryTest1","42.000","12.145","7.500","999.90"
"BatteryTest1","43.000","12.145","7.500","999.90"
"BatteryTest1","44.000","12.152","7.500","999.90"
"BatteryTest1","45.000","12.152","7.500","999.90"
"BatteryTest1","46.000","12.152","7.500","999.90"
"BatteryTest1","47.000","12.152","7.500","999.90"
"BatteryTest1","48.000","12.160","7.500","999.90"
"BatteryTest1","49.000","12.160","7.500","999.90"
"BatteryTest1","50.000","12.160","7.500","999.90"
"BatteryTest1","51.000","12.160","7.500","999.90"
"BatteryTest1","52.000","12.164","7.500","999.90"
"BatteryTest1","53.000","12.168","7.500","999.90"
"BatteryTest1","54.000","12.168","7.500","999.90"
"BatteryTest1","55.000","12.168","7.500","999.90"
"BatteryTest1","56.000","12.168","7.500","999.90"
"BatteryTest1","57.000","12.168","7.500","999.90"
"BatteryTest1","58.000","12.168","7.500","999.90"
"BatteryTest1","59.000","12.172","7.500","999.90"
"BatteryTest1","60.000","12.176","7.500","999.90"
"BatteryTest1","61.000","12.176","7.500","999.90"
"BatteryTest1","62.000","12.176","7.500","999.90"
"BatteryTest1","63.000","12.176","7.500","999.90"
"BatteryTest1","64.000","12.176","7.500","999.90"
"BatteryTest1","65.000","12.176","7.500","999.90"
"BatteryTest1","66.000","12.176","7.500","999.90"
"BatteryTest1","67.000","12.176","7.500","999.90"
"BatteryTest1","68.000","12.176","7.500","999.90"
"BatteryTest1","69.000","12.180","7.500","999.90"
"BatteryTest1","70.000","12.184","7.500","999.90"
"BatteryTest1","71.000","12.184","7.500","999.90"
"BatteryTest1","72.000","12.184","7.500","999.90"
"BatteryTest1","73.000","12.184","7.500","999.90"
"BatteryTest1","74.000","12.184","7.500","999.90"
"BatteryTest1","75.000","12.184","7.500","999.90"
"BatteryTest1","76.000","12.184","7.500","999.90"
"BatteryTest1","77.000","12.184","7.500","999.90"
"BatteryTest1","78.000","12.184","7.500","999.90"
"BatteryTest1","79.000","12.184","7.500","999.90"
"BatteryTest1","80.000","12.188","7.500","999.90"
"BatteryTest1","81.000","12.188","7.500","999.90"
"BatteryTest1","82.000","12.192","7.500","999.90"
"BatteryTest1","83.000","12.192","7.500","999.90"
"BatteryTest1","84.000","12.192","7.500","999.90"
"BatteryTest1","85.000","12.192","7.500","999.90"
"BatteryTest1","86.000","12.192","7.500","999.90"
"BatteryTest1","87.000","12.192","7.500","999.90"
"BatteryTest1","88.000","12.192","7.500","999.90"
"BatteryTest1","89.000","12.192","7.500","999.90"
"BatteryTest1","90.000","12.192","7.500","999.90"
"BatteryTest1","91.000","12.192","7.500","999.90"
"BatteryTest1","92.000","12.192","7.500","999.90"
"BatteryTest1","93.000","12.192","7.500","999.90"
"BatteryTest1","94.000","12.192","7.500","999.90"
"BatteryTest1","95.000","12.192","7.500","999.90"
"BatteryTest1","96.000","12.192","7.500","999.90"
"BatteryTest1","97.000","12.196","7.500","999.90"
"BatteryTest1","98.000","12.200","7.500","999.90"
"BatteryTest1","99.000","12.200","7.500","999.90"
"BatteryTest1","100.000","12.200","7.500","999.90"
"BatteryTest1","101.000","12.200","7.500","999.90"
"BatteryTest1","102.000","12.200","7.500","999.90"
"BatteryTest1","103.000","12.200","7.500","999.90"
"BatteryTest1","104.000","12.200","7.500","999.90"
"BatteryTest1","105.000","12.200","7.500","999.90"
"BatteryTest1","106.000","12.200","7.500","999.90"
"BatteryTest1","107.000","12.200","7.500","999.90"
"BatteryTest1","108.000","12.200","7.500","999.90"
"BatteryTest1","109.000","12.200","7.500","999.90"
"BatteryTest1","110.000","12.200","7.500","999.90"
"BatteryTest1","111.000","12.200","7.500","999.90"
"BatteryTest1","112.000","12.200","7.500","999.90"
"BatteryTest1","113.000","12.200","7.500","999.90"
"BatteryTest1","114.000","12.200","7.500","999.90"
"BatteryTest1","115.000","12.200","7.500","999.90"
"BatteryTest1","116.000","12.200","7.500","999.90"
"BatteryTest1","117.000","12.200","7.500","999.90"
"BatteryTest1","118.000","12.200","7.500","999.90"
"BatteryTest1","119.000","12.200","7.500","999.90"
"BatteryTest1","120.000","12.200","7.500","999.90"
"BatteryTest1","121.000","12.200","7.500","999.90"
"BatteryTest1","122.000","12.200","7.500","999.90"
"BatteryTest1","123.000","12.200","7.500","999.90"
"BatteryTest1","124.000","12.203","7.500","999.90"
"BatteryTest1","125.000","12.203","7.500","999.90"
"BatteryTest1","126.000","12.203","7.500","999.90"
"BatteryTest1","127.000","12.203","7.500","999.90"
"BatteryTest1","128.000","12.207","7.500","999.90"
"BatteryTest1","129.000","12.207","7.500","999.90"
"BatteryTest1","130.000","12.207","7.500","999.90"
"BatteryTest1","131.000","12.207","7.500","999.90"
"BatteryTest1","132.000","12.207","7.500","999.90"
"BatteryTest1","133.000","12.207","7.500","999.90"
"BatteryTest1","134.000","12.207","7.500","999.90"
"BatteryTest1","135.000","12.207","7.500","999.90"
"BatteryTest1","136.000","12.207","7.500","999.90"
"BatteryTest1","137.000","12.207","7.500","999.90"
"BatteryTest1","138.000","12.207","7.500","999.90"
