"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"Test_1","0.000","13.299","0.000","999.90"
"Test_1","1.000","12.478","7.500","999.90"
"Test_1","2.000","12.478","7.500","999.90"
"Test_1","3.000","12.466","7.500","999.90"
"Test_1","4.000","12.463","7.500","999.90"
"Test_1","5.000","12.427","7.500","999.90"
"Test_1","6.000","12.408","7.500","999.90"
"Test_1","7.000","12.384","7.500","999.90"
"Test_1","8.000","12.345","7.500","999.90"
"Test_1","9.000","12.302","7.500","999.90"
"Test_1","10.000","12.274","7.500","999.90"
"Test_1","11.000","12.251","7.500","999.90"
"Test_1","12.000","12.243","7.500","999.90"
"Test_1","13.000","12.219","7.500","999.90"
"Test_1","14.000","12.203","7.500","999.90"
"Test_1","15.000","12.200","7.500","999.90"
"Test_1","16.000","12.188","7.500","999.90"
"Test_1","17.000","12.176","7.500","999.90"
"Test_1","18.000","12.184","7.500","999.90"
"Test_1","19.000","12.188","7.500","999.90"
"Test_1","20.000","12.176","7.500","999.90"
"Test_1","21.000","12.160","7.500","999.90"
"Test_1","22.000","12.148","7.500","999.90"
"Test_1","23.000","12.145","7.500","999.90"
"Test_1","24.000","12.168","7.500","999.90"
"Test_1","25.000","12.160","7.500","999.90"
"Test_1","26.000","12.137","7.500","999.90"
"Test_1","27.000","12.141","7.500","999.90"
"Test_1","28.000","12.129","7.500","999.90"
"Test_1","29.000","12.141","7.500","999.90"
"Test_1","30.000","12.137","7.500","999.90"
"Test_1","31.000","12.152","7.500","999.90"
"Test_1","32.000","12.141","7.500","999.90"
"Test_1","33.000","12.125","7.500","999.90"
"Test_1","34.000","12.141","7.500","999.90"
"Test_1","35.000","12.137","7.500","999.90"
"Test_1","36.000","12.148","7.500","999.90"
"Test_1","37.000","12.141","7.500","999.90"
"Test_1","38.000","12.145","7.500","999.90"
"Test_1","39.000","12.145","7.500","999.90"
"Test_1","40.000","12.141","7.500","999.90"
"Test_1","41.000","12.141","7.500","999.90"
"Test_1","42.000","12.141","7.500","999.90"
"Test_1","43.000","12.137","7.500","999.90"
"Test_1","44.000","12.148","7.500","999.90"
"Test_1","45.000","12.145","7.500","999.90"
"Test_1","46.000","12.148","7.500","999.90"
"Test_1","47.000","12.133","7.500","999.90"
"Test_1","48.000","12.129","7.500","999.90"
"Test_1","49.000","12.117","7.500","999.90"
"Test_1","50.000","12.117","7.500","999.90"
"Test_1","51.000","12.109","7.500","999.90"
"Test_1","52.000","12.133","7.500","999.90"
"Test_1","53.000","12.125","7.500","999.90"
"Test_1","54.000","12.117","7.500","999.90"
"Test_1","55.000","12.129","7.500","999.90"
"Test_1","56.000","12.129","7.500","999.90"
"Test_1","57.000","12.109","7.500","999.90"
"Test_1","58.000","12.109","7.500","999.90"
"Test_1","59.000","12.117","7.500","999.90"
"Test_1","60.000","12.105","7.500","999.90"
"Test_1","61.000","12.113","7.500","999.90"
"Test_1","62.000","12.129","7.500","999.90"
"Test_1","63.000","12.121","7.500","999.90"
"Test_1","64.000","12.133","7.500","999.90"
"Test_1","65.000","12.129","7.500","999.90"
"Test_1","66.000","12.160","7.500","999.90"
"Test_1","67.000","12.148","7.500","999.90"
"Test_1","68.000","12.141","7.500","999.90"
"Test_1","69.000","12.160","7.500","999.90"
"Test_1","70.000","12.141","7.500","999.90"
"Test_1","71.000","12.145","7.500","999.90"
"Test_1","72.000","12.133","7.500","999.90"
"Test_1","73.000","12.152","7.500","999.90"
"Test_1","74.000","12.160","7.500","999.90"
"Test_1","75.000","12.172","7.500","999.90"
"Test_1","76.000","12.184","7.500","999.90"
"Test_1","77.000","12.184","7.500","999.90"
"Test_1","78.000","12.176","7.500","999.90"
"Test_1","79.000","12.152","7.500","999.90"
"Test_1","80.000","12.141","7.500","999.90"
"Test_1","81.000","12.164","7.500","999.90"
"Test_1","82.000","12.164","7.500","999.90"
"Test_1","83.000","12.164","7.500","999.90"
"Test_1","84.000","12.188","7.500","999.90"
"Test_1","85.000","12.188","7.500","999.90"
"Test_1","86.000","12.192","7.500","999.90"
"Test_1","87.000","12.196","7.500","999.90"
"Test_1","88.000","12.200","7.500","999.90"
"Test_1","89.000","12.203","7.500","999.90"
"Test_1","90.000","12.180","7.500","999.90"
"Test_1","91.000","12.172","7.500","999.90"
"Test_1","92.000","12.172","7.500","999.90"
